danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.653,0.437,3,-10.481,0,0.451,0.267,0.0,0.0844,0.601,114.305,225882,5,Brazilian Funk
0.729,0.715,2,-3.767,1,0.0725,0.0715,0.0,0.11,0.511,129.811,94154,4,Brazilian Funk
0.692,0.973,11,-1.154,1,0.202,0.516,0.0,0.071,0.568,100.292,165600,5,Brazilian Funk
0.71,0.473,4,-4.355,0,0.632,0.631,0.0,0.216,0.737,109.456,553537,5,Brazilian Funk
0.705,0.821,6,-2.931,1,0.0788,0.302,0.687,0.12,0.712,182.008,166079,4,Brazilian Funk
0.761,0.765,1,-5.404,0,0.093,0.219,0.000233,0.049,0.86,185.99,96960,4,Brazilian Funk
0.717,0.947,11,-0.994,0,0.237,0.196,3.44e-05,0.0752,0.858,150.059,164664,4,Brazilian Funk
0.732,0.886,9,-2.575,1,0.17,0.34,0.0,0.0739,0.906,188.106,141702,4,Brazilian Funk
0.536,0.37,8,-11.442,1,0.265,0.12,4.12e-05,0.314,0.125,174.885,121870,5,Brazilian Funk
0.686,0.788,8,-9.099,1,0.0813,0.0528,0.433,0.138,0.523,130.093,206769,4,Brazilian Funk
0.765,0.489,6,-8.782,1,0.708,0.43,0.0,0.172,0.792,170.155,241671,4,Brazilian Funk
0.747,0.697,9,-4.94,0,0.0784,0.072,0.0,0.145,0.888,160.006,162000,4,Brazilian Funk
0.927,0.819,9,-5.231,1,0.253,0.00288,8.48e-05,0.0991,0.686,130.0,130154,4,Brazilian Funk
0.502,0.583,5,-4.002,1,0.115,0.318,0.0,0.101,0.295,87.951,208013,4,Brazilian Funk
0.932,0.641,9,-0.373,1,0.232,0.279,0.0,0.0853,0.655,130.019,180923,4,Brazilian Funk
0.876,0.664,4,-2.674,0,0.0484,0.048,4.96e-05,0.0579,0.755,135.005,148444,4,Brazilian Funk
0.688,0.481,0,-7.484,0,0.487,0.368,0.0,0.0976,0.875,133.436,435566,5,Brazilian Funk
