ids,message
1tUBANRe3IOOCdmmEqXpb1,Brazil
5CjdbgYHUGLzwXIc0TcAxV,Brazil
4qbNbLrwZ4BgW3Gmk4gMS0,Brazil
2d5fHYUDBXByMgA7sgbhtj,Brazil
4v2VIAHoo3GK7tccOTKrfC,Brazil
2HgHyUK0vQOSxK71EShKsS,Brazil
0krjehV1YkB89YPa7t35If,Brazil
6X0VQENAwTzVS0gPxZCiQl,Brazil
7EvM44lG2JPLWUYraI1r7M,Brazil
14osQSvFqjYztERZYiQ6rX,Brazil
3H7eBmcTJyuEMStfmKuLmG,Brazil
6s1kzj4EbhFLXbuAGJbhbn,Brazil
5G0kKNRYFCoORvJ2VzwvrY,Brazil
5DrDpWyvharQkhsloNTN9W,Brazil
3IjUrdmAjmjiSY7LUbYXVd,Brazil
1lflD04lIdgV10sCMwFYOu,Brazil
3ODUgIaqdpkMXXlsH1kDLh,Brazil
7uPInsxTeMbyrJkDQaRwPh,Brazil
5CtXR89REICvEZljUEK8r1,Brazil
7IFsTX5H1sWcEl8joV0IdD,Brazil
106SKHXoytRADjpxHBkJpV,Brazil
0Y7k2ihn4ojGCbJkH1fR77,Brazil
7BLjPZwgbxQSLZ4rWbboJY,Brazil
3hfCle1QRfbwIpQ1B746lV,Brazil
3kBYuWrGtx1tSHjzr0vlZh,Brazil
2wXqRqVGiGB2fyy9eoPJbP,Brazil
2i3MSMA7vSXPeVS6Zyb4wy,Brazil
2i3HnfXvFT371Hbk4oZsfA,Brazil
32L3KPUr7J2qIVGZpaFjsJ,Brazil
6RjSXi9cPGroetXeNsWFGL,Brazil
1m5nbZiPpCIi9J2irLNoxh,Brazil
4sAoshwHCmh4IHMQxZHwRD,Brazil
3i1JavmShRKVqPKBUja1PG,Brazil
3ZNjlT5zR0jkEVzSSZCQeJ,Brazil
4PDw1XpsurgUnN7YSZmh1Q,Brazil
3fYzMA9OWy0lgOUv79alde,Brazil
7eoRm37Ta1jvGMiMRfOQoa,Brazil
24R0oyjvhV4HIFFvoK3XkP,Brazil
6Gn8SHd3RIWjOermcidCJk,Brazil
1fzaUKQv7sgGW0udQVghSW,Brazil
5u7Xi0QhfkYy3qETJJ5lae,Brazil
1jN0ysNJ2d9VZwVdlgspjr,Brazil
64CovjRwInpOJW4PiGMprY,Brazil
2InS5VWKJQbsFBKOsf1cJB,Brazil
4XaLEsmrRGSDkgd7qpn4Nl,Brazil
