danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.806,0.319,10,-16.169,0,0.0821,0.151,0.674,0.169,0.188,133.995,audio_features,20oDX6ZLQmWIipsWKdADyw,spotify:track:20oDX6ZLQmWIipsWKdADyw,https://api.spotify.com/v1/tracks/20oDX6ZLQmWIipsWKdADyw,https://api.spotify.com/v1/audio-analysis/20oDX6ZLQmWIipsWKdADyw,745128,4
0.466,0.872,7,-3.344,1,0.0336,0.0156,0.0,0.121,0.806,184.115,audio_features,2PnlsTsOTLE5jnBnNe2K0A,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A,https://api.spotify.com/v1/audio-analysis/2PnlsTsOTLE5jnBnNe2K0A,190428,4
0.776,0.481,5,-9.339,1,0.0571,0.196,0.0,0.157,0.696,129.941,audio_features,73yEnFvnQmSJNMi92fnz6m,spotify:track:73yEnFvnQmSJNMi92fnz6m,https://api.spotify.com/v1/tracks/73yEnFvnQmSJNMi92fnz6m,https://api.spotify.com/v1/audio-analysis/73yEnFvnQmSJNMi92fnz6m,183212,4
0.505,0.812,1,-3.986,1,0.461,0.285,0.0,0.444,0.664,80.09,audio_features,3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,255916,4
0.827,0.336,2,-8.915,0,0.443,0.374,0.0,0.108,0.618,121.811,audio_features,2CCvvsFMwmrlUfDdPeIUox,spotify:track:2CCvvsFMwmrlUfDdPeIUox,https://api.spotify.com/v1/tracks/2CCvvsFMwmrlUfDdPeIUox,https://api.spotify.com/v1/audio-analysis/2CCvvsFMwmrlUfDdPeIUox,125806,4
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701,4
0.647,0.748,6,-5.286,1,0.313,0.294,0.0,0.241,0.353,87.094,audio_features,5MtBO8sJ42NiAQHP0gIsKK,spotify:track:5MtBO8sJ42NiAQHP0gIsKK,https://api.spotify.com/v1/tracks/5MtBO8sJ42NiAQHP0gIsKK,https://api.spotify.com/v1/audio-analysis/5MtBO8sJ42NiAQHP0gIsKK,201407,4
0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,audio_features,5Z01UMMf7V1o0MzF86s6WJ,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
0.871,0.648,10,-7.825,0,0.278,0.266,0.0,0.2,0.629,92.296,audio_features,6lEIjrQNwJPecJ7mMXjhjo,spotify:track:6lEIjrQNwJPecJ7mMXjhjo,https://api.spotify.com/v1/tracks/6lEIjrQNwJPecJ7mMXjhjo,https://api.spotify.com/v1/audio-analysis/6lEIjrQNwJPecJ7mMXjhjo,355067,4
0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,audio_features,5g9lS8deSIxItFBmZRC4vN,spotify:track:5g9lS8deSIxItFBmZRC4vN,https://api.spotify.com/v1/tracks/5g9lS8deSIxItFBmZRC4vN,https://api.spotify.com/v1/audio-analysis/5g9lS8deSIxItFBmZRC4vN,278387,4
0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,audio_features,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4
0.683,0.74,11,-6.041,0,0.0462,0.00228,0.0,0.238,0.65,129.515,audio_features,7qHAjAL7CpadaZLamuBZRm,spotify:track:7qHAjAL7CpadaZLamuBZRm,https://api.spotify.com/v1/tracks/7qHAjAL7CpadaZLamuBZRm,https://api.spotify.com/v1/audio-analysis/7qHAjAL7CpadaZLamuBZRm,281773,4
0.728,0.832,7,-6.827,1,0.267,0.327,0.0,0.504,0.825,95.051,audio_features,5KUNwkaNf8l5A9sXZhiCgI,spotify:track:5KUNwkaNf8l5A9sXZhiCgI,https://api.spotify.com/v1/tracks/5KUNwkaNf8l5A9sXZhiCgI,https://api.spotify.com/v1/audio-analysis/5KUNwkaNf8l5A9sXZhiCgI,172893,4
0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,audio_features,3RmKpob8xzv1pzHEQrMJah,spotify:track:3RmKpob8xzv1pzHEQrMJah,https://api.spotify.com/v1/tracks/3RmKpob8xzv1pzHEQrMJah,https://api.spotify.com/v1/audio-analysis/3RmKpob8xzv1pzHEQrMJah,230133,4
0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486,audio_features,6ScJMrlpiLfZUGtWp4QIVt,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/tracks/6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/audio-analysis/6ScJMrlpiLfZUGtWp4QIVt,221840,4
0.493,0.277,2,-15.968,0,0.235,0.798,0.0,0.13,0.21,116.902,audio_features,2SxnF7ibCTxMihwyiW7znz,spotify:track:2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/tracks/2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/audio-analysis/2SxnF7ibCTxMihwyiW7znz,176351,4
0.704,0.66,8,-6.015,0,0.0702,0.493,0.0,0.242,0.407,135.06,audio_features,24JtaufFKH2Ugqw14v6tv6,spotify:track:24JtaufFKH2Ugqw14v6tv6,https://api.spotify.com/v1/tracks/24JtaufFKH2Ugqw14v6tv6,https://api.spotify.com/v1/audio-analysis/24JtaufFKH2Ugqw14v6tv6,188379,4
0.61,0.824,5,-3.588,1,0.0382,0.24,0.0,0.0865,0.273,129.975,audio_features,4pwKy99a1IhAwjekz8Zf0c,spotify:track:4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/tracks/4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/audio-analysis/4pwKy99a1IhAwjekz8Zf0c,219666,4
0.663,0.604,2,-5.544,0,0.354,0.328,0.0,0.136,0.439,131.618,audio_features,4ZrKyfCV1UcHuZjbLp03fM,spotify:track:4ZrKyfCV1UcHuZjbLp03fM,https://api.spotify.com/v1/tracks/4ZrKyfCV1UcHuZjbLp03fM,https://api.spotify.com/v1/audio-analysis/4ZrKyfCV1UcHuZjbLp03fM,207273,4
0.832,0.456,1,-10.619,1,0.26,0.0254,0.0708,0.104,0.118,137.086,audio_features,5L3AslRWDg4kyf3wkRGYEl,spotify:track:5L3AslRWDg4kyf3wkRGYEl,https://api.spotify.com/v1/tracks/5L3AslRWDg4kyf3wkRGYEl,https://api.spotify.com/v1/audio-analysis/5L3AslRWDg4kyf3wkRGYEl,140146,4
0.905,0.47,5,-11.143,0,0.115,0.71,2.37e-06,0.127,0.503,127.054,audio_features,5NunX2CvtMyvZHdV1CPZsJ,spotify:track:5NunX2CvtMyvZHdV1CPZsJ,https://api.spotify.com/v1/tracks/5NunX2CvtMyvZHdV1CPZsJ,https://api.spotify.com/v1/audio-analysis/5NunX2CvtMyvZHdV1CPZsJ,215005,4
0.765,0.624,1,-8.25,0,0.369,0.0428,0.0,0.0911,0.529,152.888,audio_features,4RMjRkkLrAiTG2QgiJaFyc,spotify:track:4RMjRkkLrAiTG2QgiJaFyc,https://api.spotify.com/v1/tracks/4RMjRkkLrAiTG2QgiJaFyc,https://api.spotify.com/v1/audio-analysis/4RMjRkkLrAiTG2QgiJaFyc,126667,5
0.872,0.541,7,-9.706,0,0.176,0.16,4.8e-06,0.0977,0.663,140.068,audio_features,6eIDnYQYLxIWLRb8rNw5LW,spotify:track:6eIDnYQYLxIWLRb8rNw5LW,https://api.spotify.com/v1/tracks/6eIDnYQYLxIWLRb8rNw5LW,https://api.spotify.com/v1/audio-analysis/6eIDnYQYLxIWLRb8rNw5LW,169714,4
0.724,0.744,7,-4.709,1,0.254,0.351,0.0,0.0737,0.455,99.6,audio_features,7x9ZGBLZKTPplZIApLJ3Rz,spotify:track:7x9ZGBLZKTPplZIApLJ3Rz,https://api.spotify.com/v1/tracks/7x9ZGBLZKTPplZIApLJ3Rz,https://api.spotify.com/v1/audio-analysis/7x9ZGBLZKTPplZIApLJ3Rz,136704,4
0.647,0.782,5,-7.475,0,0.0521,0.139,0.0545,0.0621,0.884,99.859,audio_features,2ufnnZAVCoEoShQjdRgwS1,spotify:track:2ufnnZAVCoEoShQjdRgwS1,https://api.spotify.com/v1/tracks/2ufnnZAVCoEoShQjdRgwS1,https://api.spotify.com/v1/audio-analysis/2ufnnZAVCoEoShQjdRgwS1,464627,4
0.567,0.732,8,-10.497,1,0.395,0.159,0.0,0.283,0.562,85.596,audio_features,4hPY8Hyit0AqHTZZp4a861,spotify:track:4hPY8Hyit0AqHTZZp4a861,https://api.spotify.com/v1/tracks/4hPY8Hyit0AqHTZZp4a861,https://api.spotify.com/v1/audio-analysis/4hPY8Hyit0AqHTZZp4a861,354310,4
0.647,0.748,6,-5.286,1,0.313,0.294,0.0,0.241,0.353,87.094,audio_features,5MtBO8sJ42NiAQHP0gIsKK,spotify:track:5MtBO8sJ42NiAQHP0gIsKK,https://api.spotify.com/v1/tracks/5MtBO8sJ42NiAQHP0gIsKK,https://api.spotify.com/v1/audio-analysis/5MtBO8sJ42NiAQHP0gIsKK,201407,4
0.789,0.71,11,-4.839,0,0.284,0.188,0.0,0.319,0.742,86.903,audio_features,6qssC6tXnAbbm01ZRSCJel,spotify:track:6qssC6tXnAbbm01ZRSCJel,https://api.spotify.com/v1/tracks/6qssC6tXnAbbm01ZRSCJel,https://api.spotify.com/v1/audio-analysis/6qssC6tXnAbbm01ZRSCJel,416760,4
0.747,0.465,0,-10.95,1,0.399,0.439,0.000157,0.366,0.829,109.924,audio_features,2NyvpOe02hCmLMEzj2d38N,spotify:track:2NyvpOe02hCmLMEzj2d38N,https://api.spotify.com/v1/tracks/2NyvpOe02hCmLMEzj2d38N,https://api.spotify.com/v1/audio-analysis/2NyvpOe02hCmLMEzj2d38N,130909,4
0.858,0.733,7,-7.292,0,0.305,0.275,0.0,0.152,0.801,157.38,audio_features,3ytXzEJFeVydFfmUhHvti8,spotify:track:3ytXzEJFeVydFfmUhHvti8,https://api.spotify.com/v1/tracks/3ytXzEJFeVydFfmUhHvti8,https://api.spotify.com/v1/audio-analysis/3ytXzEJFeVydFfmUhHvti8,411867,4
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4
0.795,0.502,4,-5.746,0,0.214,0.676,0.0,0.52,0.653,129.533,audio_features,41sjmSYBlafAQrfcxt5387,spotify:track:41sjmSYBlafAQrfcxt5387,https://api.spotify.com/v1/tracks/41sjmSYBlafAQrfcxt5387,https://api.spotify.com/v1/audio-analysis/41sjmSYBlafAQrfcxt5387,201683,5
0.69,0.732,6,-3.562,0,0.37,0.225,0.0,0.124,0.92,171.964,audio_features,5MjB4phpJsKhm8yCXdTIDN,spotify:track:5MjB4phpJsKhm8yCXdTIDN,https://api.spotify.com/v1/tracks/5MjB4phpJsKhm8yCXdTIDN,https://api.spotify.com/v1/audio-analysis/5MjB4phpJsKhm8yCXdTIDN,219179,4
0.852,0.838,11,-4.653,0,0.246,0.0866,4.85e-06,0.136,0.641,127.027,audio_features,1QruZLnz4JAyCf06OjxHvK,spotify:track:1QruZLnz4JAyCf06OjxHvK,https://api.spotify.com/v1/tracks/1QruZLnz4JAyCf06OjxHvK,https://api.spotify.com/v1/audio-analysis/1QruZLnz4JAyCf06OjxHvK,242008,4
0.493,0.277,2,-15.968,0,0.235,0.798,0.0,0.13,0.21,116.902,audio_features,2SxnF7ibCTxMihwyiW7znz,spotify:track:2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/tracks/2SxnF7ibCTxMihwyiW7znz,https://api.spotify.com/v1/audio-analysis/2SxnF7ibCTxMihwyiW7znz,176351,4
0.854,0.556,1,-4.49,1,0.14,0.345,0.0,0.165,0.342,119.938,audio_features,03a359wbiUsjN9h6yzXvmS,spotify:track:03a359wbiUsjN9h6yzXvmS,https://api.spotify.com/v1/tracks/03a359wbiUsjN9h6yzXvmS,https://api.spotify.com/v1/audio-analysis/03a359wbiUsjN9h6yzXvmS,209531,4
0.704,0.66,8,-6.015,0,0.0702,0.493,0.0,0.242,0.407,135.06,audio_features,24JtaufFKH2Ugqw14v6tv6,spotify:track:24JtaufFKH2Ugqw14v6tv6,https://api.spotify.com/v1/tracks/24JtaufFKH2Ugqw14v6tv6,https://api.spotify.com/v1/audio-analysis/24JtaufFKH2Ugqw14v6tv6,188379,4
0.832,0.456,1,-10.619,1,0.26,0.0254,0.0708,0.104,0.118,137.086,audio_features,5L3AslRWDg4kyf3wkRGYEl,spotify:track:5L3AslRWDg4kyf3wkRGYEl,https://api.spotify.com/v1/tracks/5L3AslRWDg4kyf3wkRGYEl,https://api.spotify.com/v1/audio-analysis/5L3AslRWDg4kyf3wkRGYEl,140146,4
0.61,0.824,5,-3.588,1,0.0382,0.24,0.0,0.0865,0.273,129.975,audio_features,4pwKy99a1IhAwjekz8Zf0c,spotify:track:4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/tracks/4pwKy99a1IhAwjekz8Zf0c,https://api.spotify.com/v1/audio-analysis/4pwKy99a1IhAwjekz8Zf0c,219666,4
